µ¶¾ßºÅ,µ¶¾ßÀàÐÍÊ¶±ðÂë,µ¶±ú±àºÅ,µ¶¾ß±àºÅ,Ðü³¤,µ¶¾ßÖ±¾¶,R½Ç°ë¾¶,µ¶³¤·À´íÉÏÆ«²î,µ¶³¤·À´íÏÂÆ«²î,µ¶¾¶·À´íÉÏÆ«²î,µ¶¾¶·À´íÏÂÆ«²î,ÐüÉì³¤·À´íÉÏÆ«²î,ÐüÉì³¤·À´íÏÂÆ«²î,µ¶±ú³¤¶È·À´íÉÏÆ«²î,µ¶±ú³¤¶È·À´íÏÂÆ«²î,µ¶±úÖ±¾¶·À´íÉÏÆ«²î,µ¶±úÖ±¾¶·À´íÏÂÆ«²î
1,-1,BT40-ER32-100,»®Ïß±Ê,20.000000,3.000000,1.500000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
2,-1,BT40-ER32-100,ZTD12,50.000000,12.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
3,-1,BT40-ER32-100,UZ.N.A.Y.2.S.C-D18*90*D25,50.000000,18.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
4,-1,BT40-ER32-100,ZTD8,50.000000,8.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
5,-1,BT40-ER32-100,D25R3,50.000000,25.000000,3.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
6,-1,BT40-ER32-100,D20R4,50.000000,20.000000,4.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
7,-1,BT40-ER32-100,D16R3,50.000000,16.000000,3.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
8,-1,BT40-ER32-100,TD20R3R3,51.000000,20.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
9,-1,BT40-ER32-100,D8R0,35.000000,8.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
10,-1,BT40-ER32-100,D10R3,50.000000,10.000000,3.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
11,-1,BT40-ER32-100,D12R0,45.000000,12.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
12,-1,BT40-ER32-100,JD12H9,50.000000,12.000000,0.000000,0.030000,-0.030000,0.020000,-0.020000,3.000000,0.000000,5.000000,0.000000,5.000000,0.000000
