刀号,刀具编号,悬长,刀杆直径,刀具直径,R角半径,刃长,刀具总长,刀具类型号,刀具测量高度,刀具最低点模式,刀刃个数,刀长磨损上偏差,刀长磨损下偏差,刀径磨损上偏差,刀径磨损下偏差,崩刃阈值,轮廓磨损阈值,测量节拍,长度系统误差补偿,半径系统误差补偿,
1,哈哈哈,20.000000,2.900000,1.500000,1.500000,6.000000,20.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,嘻嘻嘻,50.000000,11.800000,0.000000,0.000000,10.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,BT40-ER32-100,50.000000,17.800000,0.000000,0.000000,3.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,BT40-ER32-100,50.000000,7.800000,0.000000,0.000000,10.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,BT40-ER32-100,50.000000,24.800000,3.000000,3.000000,6.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,BT40-ER32-100,50.000000,19.800000,4.000000,4.000000,6.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7,BT40-ER32-100,50.000000,15.900000,3.000000,3.000000,6.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,BT40-ER32-100,51.000000,20.000000,0.000000,0.000000,6.000000,51.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,BT40-ER32-100,35.000000,7.900000,0.000000,0.000000,3.000000,35.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,BT40-ER32-100,50.000000,9.800000,3.000000,3.000000,6.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
11,BT40-ER32-100,45.000000,11.800000,0.000000,0.000000,3.000000,45.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12,河黑河,50.000000,11.900000,0.000000,0.000000,3.000000,50.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
